Documento 1
Índice del término	Término	TF	IDF	TF-IDF 
[11]	acidity	1.0	0.1549	0.1549
[12]	a	1.0	0.1549	0.1549
[13]	crisp	1.0	0.69897	0.69897
[14]	texture	1.0	0.69897	0.69897
[15]	drink	1.0	1.0	1.0

Similitud coseno entre los documentos 
Similitud coseno entre el documento 1 y el documento 2: 5.0
Similitud coseno entre el documento 1 y el documento 3: 5.0
Similitud coseno entre el documento 1 y el documento 4: 5.0
Similitud coseno entre el documento 1 y el documento 5: 5.0
Similitud coseno entre el documento 1 y el documento 6: 5.0
Similitud coseno entre el documento 1 y el documento 7: 5.0
Similitud coseno entre el documento 1 y el documento 8: 4.39794
Similitud coseno entre el documento 1 y el documento 9: 5.0
Similitud coseno entre el documento 1 y el documento 10: 5.0
Similitud coseno entre el documento 2 y el documento 3: 5.0
Similitud coseno entre el documento 2 y el documento 4: 5.0
Similitud coseno entre el documento 2 y el documento 5: 5.0
Similitud coseno entre el documento 2 y el documento 6: 5.0
Similitud coseno entre el documento 2 y el documento 7: 5.0
Similitud coseno entre el documento 2 y el documento 8: 4.39794
Similitud coseno entre el documento 2 y el documento 9: 5.0
Similitud coseno entre el documento 2 y el documento 10: 5.0
Similitud coseno entre el documento 3 y el documento 4: 5.0
Similitud coseno entre el documento 3 y el documento 5: 5.0
Similitud coseno entre el documento 3 y el documento 6: 5.0
Similitud coseno entre el documento 3 y el documento 7: 5.0
Similitud coseno entre el documento 3 y el documento 8: 4.39794
Similitud coseno entre el documento 3 y el documento 9: 5.0
Similitud coseno entre el documento 3 y el documento 10: 5.0
Similitud coseno entre el documento 4 y el documento 5: 5.0
Similitud coseno entre el documento 4 y el documento 6: 5.0
Similitud coseno entre el documento 4 y el documento 7: 5.0
Similitud coseno entre el documento 4 y el documento 8: 4.39794
Similitud coseno entre el documento 4 y el documento 9: 5.0
Similitud coseno entre el documento 4 y el documento 10: 5.0
Similitud coseno entre el documento 5 y el documento 6: 5.0
Similitud coseno entre el documento 5 y el documento 7: 5.0
Similitud coseno entre el documento 5 y el documento 8: 4.39794
Similitud coseno entre el documento 5 y el documento 9: 5.0
Similitud coseno entre el documento 5 y el documento 10: 5.0
Similitud coseno entre el documento 6 y el documento 7: 5.0
Similitud coseno entre el documento 6 y el documento 8: 4.39794
Similitud coseno entre el documento 6 y el documento 9: 5.0
Similitud coseno entre el documento 6 y el documento 10: 5.0
Similitud coseno entre el documento 7 y el documento 8: 4.39794
Similitud coseno entre el documento 7 y el documento 9: 5.0
Similitud coseno entre el documento 7 y el documento 10: 5.0
Similitud coseno entre el documento 8 y el documento 9: 4.39794
Similitud coseno entre el documento 8 y el documento 10: 4.39794
Similitud coseno entre el documento 9 y el documento 10: 5.0
